,event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
0,20180101T000303Z,['DK.ILULI.'],0.0,2018-01-01T00:03:03.463392Z,21.08,1430.98735815,20064746.3155,amplitude
1,20180101T000447Z,['DK.ILULI.'],0.0,2018-01-01T00:04:47.023392Z,5.38,1534.28622713,4534565.33556,amplitude
2,20180101T000711Z,['DK.ILULI.'],0.0,2018-01-01T00:07:11.263392Z,14.14,1542.82061783,17506879.5034,amplitude
3,20180101T000835Z,['DK.ILULI.'],0.0,2018-01-01T00:08:35.343392Z,72.9,1615.59733394,64044838.144,amplitude
4,20180101T001601Z,['DK.ILULI.'],0.0,2018-01-01T00:16:01.263392Z,68.82,1408.22341215,39890890.13,amplitude
5,20180101T002232Z,['DK.ILULI.'],0.0,2018-01-01T00:22:32.083392Z,7.92,1390.40851039,6950664.66348,amplitude
6,20180101T002422Z,['DK.ILULI.'],0.0,2018-01-01T00:24:22.843392Z,11.08,1330.14988423,9199694.72894,amplitude
7,20180101T002827Z,['DK.ILULI.'],0.0,2018-01-01T00:28:27.583392Z,34.24,1599.36648545,32231591.2769,amplitude
8,20180101T003029Z,['DK.ILULI.'],0.0,2018-01-01T00:30:29.923392Z,56.3,1501.38445281,32721676.1842,amplitude
9,20180101T003233Z,['DK.ILULI.'],0.0,2018-01-01T00:32:33.263392Z,28.88,1591.18124711,35903911.6626,amplitude
10,20180101T004343Z,['DK.ILULI.'],0.0,2018-01-01T00:43:43.763392Z,14.8,1328.08615816,10712133.6993,amplitude
11,20180101T004749Z,['DK.ILULI.'],0.0,2018-01-01T00:47:49.183392Z,81.42,1987.13910099,70002575.3442,amplitude
12,20180101T005302Z,['DK.ILULI.'],0.0,2018-01-01T00:53:02.263392Z,29.92,1339.32608236,22802539.1148,amplitude
13,20180101T010001Z,['DK.ILULI.'],0.0,2018-01-01T01:00:01.523392Z,63.02,1645.44428849,51231829.9321,amplitude
14,20180101T010640Z,['DK.ILULI.'],0.0,2018-01-01T01:06:40.063392Z,76.92,2194.6668118,49235015.0633,amplitude
15,20180101T010912Z,['DK.ILULI.'],0.0,2018-01-01T01:09:12.543392Z,15.52,1390.61599591,17213353.4608,amplitude
16,20180101T011244Z,['DK.ILULI.'],0.0,2018-01-01T01:12:44.583392Z,11.9,1529.73682441,11819961.9166,amplitude
17,20180101T011504Z,['DK.ILULI.'],0.0,2018-01-01T01:15:04.583392Z,9.08,1997.55338356,7171097.54646,amplitude
