,event_id,station,components,time,duration,amplitude,energy,signal_type
0,20180101T000303Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:03:03.463392Z,21.08,640.146734831,1068349.32685,amplitude
1,20180101T000447Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:04:47.023392Z,5.38,609.95660243,417116.584685,amplitude
2,20180101T000711Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:07:11.263392Z,14.14,792.27714255,1023730.8349,amplitude
3,20180101T000835Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:08:35.343392Z,72.9,798.014860353,5118608.97518,amplitude
4,20180101T001601Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:16:01.263392Z,68.82,778.222877266,7905703.76601,amplitude
5,20180101T002232Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:22:32.083392Z,7.92,650.482120749,717971.283232,amplitude
6,20180101T002422Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:24:22.843392Z,11.08,629.020899064,622221.221569,amplitude
7,20180101T002827Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:28:27.583392Z,34.24,868.798986662,3282556.14486,amplitude
8,20180101T003029Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:30:29.923392Z,56.3,749.975150591,6038546.40148,amplitude
9,20180101T003233Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:32:33.263392Z,28.88,596.765912263,1859312.40742,amplitude
10,20180101T004343Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:43:43.763392Z,14.8,581.538498196,888030.251501,amplitude
11,20180101T004749Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:47:49.183392Z,81.42,1220.52510132,14529655.8468,amplitude
12,20180101T005302Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T00:53:02.263392Z,29.92,601.218620046,1682666.33153,amplitude
13,20180101T010001Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T01:00:01.523392Z,63.02,942.470339872,5895991.84692,amplitude
14,20180101T010640Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T01:06:40.063392Z,76.92,1320.5789091,6077783.16942,amplitude
15,20180101T010912Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T01:09:12.543392Z,15.52,723.865305023,1597984.69565,amplitude
16,20180101T011244Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T01:12:44.583392Z,11.9,538.809541118,641211.019791,amplitude
17,20180101T011504Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T01:15:04.583392Z,9.08,1353.77211736,1629291.61732,amplitude
18,20180101T011652Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T01:16:52.303392Z,59.74,1026.31986075,7251714.39662,amplitude
19,20180101T012204Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T01:22:04.323392Z,15.84,597.957665829,1105659.28913,amplitude
20,20180101T012413Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T01:24:13.703392Z,14.72,602.847163445,953805.051181,amplitude
21,20180101T012610Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T01:26:10.203392Z,87.12,801.929093759,8703366.17902,amplitude
