,event_id,station,components,time,duration,amplitude,energy,signal_type
0,20101216T133748Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-16T13:35:27.815000Z,269.965,72979.4377891,258975886717.0,amplitude
1,20101217T140718Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-17T14:05:39.800000Z,245.265,53360.6976094,134624470036.0,amplitude
2,20101217T141340Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-17T14:13:46.990000Z,20.49,8917.69139269,319704058.822,amplitude
3,20101217T231602Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-17T23:13:41.360000Z,270.22,29215.9242298,51449474429.6,amplitude
4,20101216T133748Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-16T13:37:46.125000Z,138.78,57993.9586722,121457937495.0,amplitude
5,20101217T140718Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-17T14:07:24.685000Z,146.77,50607.2050253,98374263154.7,amplitude
6,20101217T141340Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-17T14:13:35.100000Z,24.885,17121.183084,1296323685.35,amplitude
7,20101217T231602Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-17T23:16:06.190000Z,135.78,20047.776678,16202933849.0,amplitude
8,20101216T133748Z,2C.BB04.,"['HHZ', 'HHN', 'HHE']",2010-12-16T13:38:26.060000Z,95.165,132458.635858,221595714884.0,amplitude
9,20101217T140718Z,2C.BB04.,"['HHZ', 'HHN', 'HHE']",2010-12-17T14:08:08.835000Z,97.795,128300.724508,206698971409.0,amplitude
10,20101217T141340Z,2C.BB04.,"['HHZ', 'HHN', 'HHE']",2010-12-17T14:13:23.975000Z,30.995,29844.5256558,5657744974.81,amplitude
11,20101217T231602Z,2C.BB04.,"['HHZ', 'HHN', 'HHE']",2010-12-17T23:16:29.950000Z,103.72,33676.7380584,22467187294.1,amplitude
12,20101216T133748Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-16T13:37:54.490000Z,160.36,30201.4151622,49511769035.3,amplitude
13,20101217T140718Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-17T14:06:21.995000Z,243.205,32078.8994968,41228214407.0,amplitude
14,20101217T231602Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-17T23:16:08.435000Z,155.58,13939.7182092,7620363834.82,amplitude
